Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"When present, the Vision Condition Code (2300 CRC05-Vision) must equal L1, L2, L3, L4 or L5.
Vision Condition Code 2 (2300 CRC02-Vision) Is Required when Vision Condition Code 3 is Present","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",196,47%,0x3938B30
"When present, the Vision Condition Code (2300 CRC06-Vision) must equal L1, L2, L3, L4 or L5.
Vision Condition Code 3 (2300 CRC05-Vision) Is Required when Vision Condition Code 4 is Present","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",197,50%,0x3938B30
"When present, the Vision Condition Code (2300 CRC07-Vision) must equal L1, L2, L3, L4 or L5.
Vision Condition Code 4 (2300 CRC06-Vision) Is Required when Vision Condition Code 5 is Present","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",198,47%,0x3938B30
"If Present, the Homebound Indicator (2300 CRC03-Homebound) Must Be IH.","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",199,40%,0x3938B30
"If the EPSDT Certification Condition Indicator (2300 CRC02-EPSDT Referral) is present it must be ""N"" or ""Y""
If the EPSDT Condition Indicator (2300 CRC03-EPSTD Referral) is present then the EPSDT Certification Condition Indicator is required.
For Medicare & MPA:
  If the EPSDT Certification Condition Indicator is Present, The Place of Service (2300 CLM0501) must be 41 or 42.","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",200,49%,0x3938B30
"If EPSDT Condition Indicator (2300 CRC03-EPSDT Referral) is present, Must Be AV,NU,S2 or ST.
If the EPSDT Certification Indicator (2300 CRC02-EPSDT Referral) is ""N"", the EPSDT Condition Indicator Must Be ""NU"".
The EPSDT Condition Code is Required when the EPSDT Condition Indicator is Present.","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",201,55%,0x3938B30
"If present, the EPSDT Condition Indicator (2300 CRC04-EPSDT Referral) Must Be AV,NU,S2 or ST.","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",202,43%,0x3938B30
"If present, the EPSDT Condition Indicator (2300 CRC05-EPSDT Referral) Must Be AV,NU,S2 or ST.","Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CR3 '' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment CRC 'Condition Indicator/Durable Medical Equipment' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Begin Therapy Date' is used.
Segment N4 (Ordering Provider City, State, ZIP Code) is missing. It is required when segment DTP 'Date - Last Certification Date' is used.",203,43%,0x3938B30
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI01-01) must be BK.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI01-01) must be ABK.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,204,39%,0x393946E
"Do not allow ICD9 and ICD10 codes on same claim.
2011325006
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2015309034 - 11/5/2015 - rmt - add simmons","Segment HI (External Cause of Injury) does not provide complete information. It contains [ec_Value] ICD-10-CM codes, but it is necessary to report series of 3 codes.",205,41%,0x3938BDF
"If Not FEP and not Medicare Rail Road and Diag Code 1 (2300 HI01-02) is Blank and the Code (2400 SV101-2) has a value in the range of A0021 - A0999, then No Further Editing of this field is performed.",Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] looks invalid. Expected value is from external code list - ICD-9-CM Diagnosis code (131) and a decimal point should not be used. Diagnosis Pointer to this code is required to provide exact,206,48%,0x3939663
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI02-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI02-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,207,39%,0x393946E
"If Diag Code 2 (2300 HI01-02) is Blank, then no validation is performed. ",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. Expected value is from external code list - Diagnosis Related Group Code (229). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected a,208,50%,0x3939327
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI03-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI03-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,209,39%,0x393946E
"If Diag Code 3 (2300 HI01-02) is Blank, then no validation is performed. ",Value of element DSB08 is incorrect. Expected value is from external code list - ICD-9-CM Diagnosis Code (131) when DSB07='DX'.,210,50%,0x3939367
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI04-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI04-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,211,39%,0x393946E
"If Diag Code 4 (2300 HI01-02) is Blank, then no validation is performed. ",Value of sub-element HI04-02 can not be verified because there were no pointers to this code. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.rec.dc]{br}{tab,212,50%,0x3939607
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI05-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI05-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,213,39%,0x393946E
"If Diag Code 5 (2300 HI01-02) is Blank, then no validation is performed. ",Value of sub-element HI05-02 can not be verified because there were no pointers to this code. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.rec.dc]{br}{tab,214,50%,0x3939607
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI06-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI06-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,215,39%,0x393946E
"If Diag Code 6 (2300 HI01-02) is Blank, then no validation is performed. ",Value of element HCP06 is incorrect. Expected value is from external code list - Diagnosis Related Group Code (229).,216,50%,0x3939327
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI07-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI07-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,217,39%,0x393946E
"If Diag Code 7 (2300 HI01-02) is Blank, then no validation is performed. ",Value of element DSB08 is incorrect. Expected value is from external code list - ICD-9-CM Diagnosis Code (131) when DSB07='DX'.,218,50%,0x3939367
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI08-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI08-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,219,39%,0x393946E
"If Diag Code 8 (2300 HI01-02) is Blank, then no validation is performed. ",Value of element DSB08 is incorrect. Expected value is from external code list - ICD-9-CM Diagnosis Code (131) when DSB07='DX'.,220,50%,0x3939367
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI09-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI09-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,221,39%,0x393946E
"If Diag Code 9 (2300 HI01-02) is Blank, then no validation is performed. ",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. Expected value is from external code list - Diagnosis Related Group Code (229). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected a,222,50%,0x3939327
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI10-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI10-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,223,39%,0x393946E
"If Diag Code 10 (2300 HI01-02) is Blank, then no validation is performed. ",Value of element DSB08 is incorrect. Expected value is from external code list - ICD-10-CM Diagnosis Code (897) when DSB07='ZZ'.,224,50%,0x3939368
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI11-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI11-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,225,39%,0x393946E
"If Diag Code 11 (2300 HI01-02) is Blank, then no validation is performed. ",Value of element CLP11 is incorrect. Expected value is from external code list - Diagnosis Related Group Code (229).,226,50%,0x3939327
"For claims with dates of service before 10/1/2015, Diagnosis Type (2300 HI12-01) must be BF.
For claims with dates of service on or after 10/1/2015, Diagnosis Type (2300 HI12-01) must be ABF.",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date should be within the Statement Dates range.,227,39%,0x393946E
"If Diag Code 12 (2300 HI01-02) is Blank, then no validation is performed. ",Value of sub-element HI12-02 can not be verified because there were no pointers to this code. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.rec.dc]{br}{tab,228,50%,0x3939607
Anesthesia Related Procedure Code (2300 HI01-02) must be a valid code on the Date of Service (2400 DTP03) on the claim. ,Value of sub-element [dpe.rec.gdl.id][dpe.par.gdl.sq]-[dpe.gdl.sq] has been already used. Procedure Codes (principal and other) are expected to be unique within claim. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{,229,55%,0x3939652
"Second Anesthesia Related Procedure Code (2300 HI02-02) cannot be present when first Anesthesia Code (2300 HI0-02) is missing.
Second Anesthesia Related Procedure Code must be a valid code on the Date of Service (2400 DTP03) on the claim.",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. Expected value is '[emp.ec_ExpValue]' for anesthesia claims when time is not built into the procedure code. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{,230,46%,0x393948C
Cannot have more than one occurrence of the same Condition Code (2300 HI01).,"Segment CAS is used. New instance of segment CAS should not be used with the same Adjustment Group Code (CAS01) when previous one has not-used adjustment
trio codes.",231,38%,0x3938BBE
"If present, the pricing methodology code (2300 HCP01) must contain values 00, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, or 14.
If the 2300 HCP segment is present, the pricing methodology code is required.",Value of sub-element SV101-03 is incorrect. Expected value is from external code list - HCPCS Code Modifier (130) when SV101-01='HC'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br},232,28%,0x3939613
HCP segment is not allowed on Medicare claims ,Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. It does not follow any allowed usage patterns for [dpe.rec.gdl.id] segments. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{,233,67%,0x3939436
"Repriced Allowed Amt cannot be greater than 99999.99
If the 2300 HCP segment is present, the Repriced Allowed Amt is required.",Value of element AMT02 is incorrect. It should not be more than value of element SV102. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.rec.dc]{br}{tab}Eleme,234,45%,0x39393E3
Monetary Savings (2300 HCP03) cannot be greater than 99999.99.,Value of element AMT02 (Patient Estimated Amount Due) is incorrect. It may not be more than value of element CLM02.,235,22%,0x3939384
"If present, the Repricing Organization Identifier (2300 HCP04) cannot be longer than 50 characters.
If present, the Repricing Organization Identifier cannot contain invalid characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.
 ",Value of element REF02 (Claim Identifier For Transmission Intermediaries) is incorrect. Expected value is up to 20 characters. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Se,236,14%,0x3939383
"If present, the Repriced Approved Ambulance Patient Group Code (2300 HCP06) cannot be longer than 50 characters.
If present, the Repriced Approved Ambulance Patient Group Code cannot contain invalid characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.
 
2010326002-11/30/2010-RMP-Created new per Protrac 2010228015.
2011115007 - 05/05/2011 - slc - added ARCAID & COMM
2012012014 - 1/12/2012 - rmp - removed MCAR","Segment CAS is used. New instance of segment CAS should not be used with the same Adjustment Group Code (CAS01) when previous one has not-used adjustment
trio codes.",237,17%,0x3938BBE
Repriced Approved Ambulatory Patient Group Amount cannot be greater than 99999.99,Value of element AMT02 (Patient Estimated Amount Due) is incorrect. It may not be more than value of element CLM02.,238,36%,0x3939384
"When Reject Reason Code is present, it may only contain values from T1-T6.",Element CR504 is used. It may be used only when CR503 is used.,239,38%,0x3939302
"If present, and this field does not contain a value from 1-5, ""Policy Compliance Code Must Be (1-5)"" is displayed.",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] does not look like a valid Phone Number. Phone Number and Area Code consisting from all zeros is not compliant. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This er,240,50%,0x393943D
"If present, must contain a value from 1-6.",Value of element PS101 is incorrect. It must match corresponding Purchased Service Provider Identifier in REF02 or NM109 in 2420B loop. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{b,241,50%,0x3939421
Referring Provider Type #1 (2310A NM101) is required when any portion of the first iteration of 2310A segment is present. Referring Provider Type #2 (2310A NM101) is required when any portion of the second iteration of 2310A segment is present.,"Value of element REF02 (Referring Provider Secondary ID) is incorrect. Expected value is UPIN (format is '1 alpha and 5 digits; or one of the values RES000, VAD000, PHS000, RET000, INT000, SLF000, OTH000') when REF01='1G'. Segment [dpe.rec.gdl.id] is defi",242,48%,0x3939392
"Referring Provider Last Name (2310A NM103) is required when any portion of the 2310A segment is present. Referring Provider Last Name cannot be more than 60 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.","Value of element REF02 (Referring Provider Secondary ID) is incorrect. Expected value is UPIN (format is '1 alpha and 5 digits; or one of the values RES000, VAD000, PHS000, RET000, INT000, SLF000, OTH000') when REF01='1G'. Segment [dpe.rec.gdl.id] is defi",243,20%,0x3939392
Referring Provider Last Name (2310A NM103) cannot be numeric.,Loop 2420F (Referring Provider Name) is used. It is not expected to be used when loop 2310A is not used.,244,44%,0x3938C5F
"When present, Referring Provider First Name cannot be more than 35 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.
For Medipak Advantage, Referring Provider First Name is required when the Last Name is present.",Loop 2420F (Referring Provider Name) is used. It should not be used when loop 2310A is used with the same information.,245,22%,0x3938C72
Referring Provider (2310A NM104) First Name cannot be numeric.,Loop 2420F (Referring Provider Name) is used. It is not expected to be used when loop 2310A is not used.,246,44%,0x3938C5F
"When present, Referring Provider Middle Name (2310A NM105) cannot be more than 25 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.
If the Referring Provider Middle name (2310A NM105) is present, and this claim is Medicare or MediPak Advantage, if the middle name contains a non-alpha character in first position, the claim will reject.",Segment REF (Referring Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,247,22%,0x3938B78
"When present, Referring Provider Suffix (2310A NM107) cannot be more than 10 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.",Segment REF (Referring Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error ,248,13%,0x3938B78
"If the claim is a paper claim (submitter id ""X0020"") and payer is not Medipak Advantage, no editing is done.","Segment REF (Payer Claim Control Number) is used. It is not expected to be used when CLM05-03 is not '7', '8, 'X' or 'Y''. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count:",249,55%,0x3938B4D
"If this is a Dakota claim, and the LOB is not MPA, the claim will not reject.",Segment PER (Service Facility Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was d,250,59%,0x3938B52
"When present, Rendering Provider Type Qualifier (2310B NM102) must be 1 or 2. For Medicare and Medipak Advantage, Rendering Provider Type Qualifier is required when any portion of the 2310B segment is present.","Value of element REF02 (Rendering Provider  Secondary ID) is incorrect. Expected value is UPIN (format is '1 alpha and 5 digits; or one of the values RES000, VAD000, PHS000, RET000, INT000, SLF000, OTH000') when REF01='1G'. Segment [dpe.rec.gdl.id] is def",251,45%,0x3939392
"Rendering Provider Last Name (2310B NM103) is required when any portion of the 2310B segment is present. For Medicare and Medipak Advantage, Rendering Provider First Name cannot be more than 60 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.","Value of element REF02 (Rendering Provider  Secondary ID) is incorrect. Expected value is UPIN (format is '1 alpha and 5 digits; or one of the values RES000, VAD000, PHS000, RET000, INT000, SLF000, OTH000') when REF01='1G'. Segment [dpe.rec.gdl.id] is def",252,21%,0x3939392
"Rendering Provider First Name (2310B NM104) cannot be present when Rendering Provider Type Qualifier (2310B NM102) is 2 (Organization). Rendering Provider First Name cannot be more than 35 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.",Loop 2310B (Rendering Provider Name) is missing. It is expected to be used when loop 2420A is used with the same value in every loop 2400.{br}{br}This loop was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{tab}Character: [emp.cp],253,21%,0x3938C58
"Rendering Provider Middle Name (2310B NM105) cannot be present when Rendering Provider Type Qualifier (2310B NM102) is 2 (Organization). Rendering Provider Middle Name cannot be more than 25 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.
If this is a Medicare or MediPak Advantage claim, the Rendering Middle Name must only be alpha in first position or the claim will reject.",Loop 2310B (Rendering Provider Name) is used. It should not be used when loop 2010AA is used with the same information. Loop [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.,254,29%,0x3938C72
"Rendering Provider Suffix (2310B NM107) cannot be present when Rendering Provider Type Qualifier (2310B NM102) is 2 (Organization). Rendering Provider Suffix cannot be more than 10 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.",Element NM104 is missing. It is recommended to be used when Rendering Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec,255,20%,0x39392E1
"2310B provider affiliation check (this is the edit that sets all flags, will never show on gui)",Segment PRV (Billing Provider Specialty Information) is used. It cannot be used when every claim has one of the following loops - 2310B or 2310D.,256,29%,0x3938B81
Billing Provider NPI (2010AA NM109) and Rendering Provider NPI (2310B NM109) Cannot be the Same.,Segment REF (Billing Provider Secondary Identification) is used. It is not expected to be used when National Provider ID is mandated for use and NM109 is used in loop 2010AA. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{b,257,40%,0x3938B78
RN First Assistant specialty is not accepted.,Element NM105 is used. It is not expected to be used when for Primary or Required Alternate Search Options.,258,43%,0x3939316
"If present, Taxonomy Code (2310B PRV03) must be a valid code on the Statement Date. Statement Date range is derived from the earliest Service Date (2400 DTP03) to the latest Service Date on the claim.","Value of element [dpe.rec.gdl.id][dpe.gdl.sq] is incorrect. The value seems to be a local code from external code list 130 - HCPCS, Level III. According to HIPAA regulations, local codes should not be used after compliance date. Segment [dpe.rec.gdl.id] i",259,49%,0x393934B
"If the claim is a paper claim (submitter id ""X0020"") and payer is not Medipak Advantage, no editing is done.","Segment REF (Payer Claim Control Number) is used. It is not expected to be used when CLM05-03 is not '7', '8, 'X' or 'Y''. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count:",260,55%,0x3938B4D
"When Rendering Provider Id Qualifier (2310B REF01) is present, Rendering Provider Id (2310B REF02) must also be present. ",Element NM104 is missing. It is recommended to be used when Rendering Provider is a person (NM102='1'). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This element was expected in:{br}{tab}Segment Count: [dpe.rec,261,53%,0x39392E1
"When Rendering Provider Id Qualifier (2310B REF01) is '1G', Rendering Provider Id (2310B REF02) must be in format ANNNNN or AAANNN (A=Alpha, N=Numeric). When Rendering Provider Id Qualifier is '0B', 'G2' or 'LU', Rendering Provider Id cannot be more than 50 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.",Value of element REF02 (Rendering Provider Secondary ID) is incorrect. Expected value is Social Security Number (format is '9 digits or '000-00-0000'') whenREF01='SY'.,262,30%,0x3939391
"When Facility Name (2310C NM103) is present it must be < 60 characters and have Valid Characters.
The Facility Name is Required when the Service Facility Loop (2310C) is Present.
5/27/2008-2008148013-add caid and comm
2011115007 - 05/05/2011 - slc - removed duplicated logic, added MPA, added IG logic from 3042.",Loop 2310C (Service Facility Location Name) is used. It should not be used when loop 2010AA is used with the same information. Loop [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count,263,32%,0x3938C72
"Service Facility Address (2310C N301) is required when any portion of the 2310C segment is present. Service Facility Address cannot be more than 30 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.  ",Loop 2330E (Other Payer Service Facility Location) is used. It is not expected to be used when loop 2310C is not used. Loop [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Count: [dpe.d,264,23%,0x3938C76
Service Facility address cannot contain a post office box number.,"Value of element REF01 (Service Facility Location Secondary ID) is incorrect. Expected value is UPIN (format is '1 alpha and 5 digits; or one of the values RES000, VAD000, PHS000, RET000, INT000, SLF000, OTH000') when REF02='1G'.",265,30%,0x3939392
"When present, Service Facility Address 2 (2310C N302) cannot be more than 30 characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.  ","Value of element REF01 (Service Facility Location Secondary ID) is incorrect. Expected value is UPIN (format is '1 alpha and 5 digits; or one of the values RES000, VAD000, PHS000, RET000, INT000, SLF000, OTH000') when REF02='1G'.",266,16%,0x3939392
"Service Facility City (2310C N401) cannot contain invalid characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '. For Medicare and Medipak Advantage, Service Facility City is required when any portion of the 2310C segment is present. Also, length of Service Facility City must be between 2 and 30 characters. ","Value of element REF01 (Service Facility Location Secondary ID) is incorrect. Expected value is UPIN (format is '1 alpha and 5 digits; or one of the values RES000, VAD000, PHS000, RET000, INT000, SLF000, OTH000') when REF02='1G'.",267,25%,0x3939392
"If Service Facility State (2310C N402) is not in Arkansas, FEP will not process the claim. The claim needs to be filed in the state the service was rendered, unless the Facility Type POS (2300 CLM05-01) is 81.",Segment PER (Service Facility Contact Information) is used. It is not expected to be used when segment REF (Property and Casualty Claim Number) is not used. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was d,268,53%,0x3938B52
