Rejection Checked,Rejection Found,Row #,FormattedAccuracy,ErrorCode
"If related causes field contains AA or OA, then the Accident date is required or error message ""Accident Date is required"" will display.

RMP - Removed ""AP"", not valid for 5010","Segment DTP (Date - Accident) is missing. It is required when CLM11-1, -2, or -3 is one of 'AA', 'OA'.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{tab}Character: [emp.cp]",126,35%,0x3938AF4
"If the Rel Cause Code 2 (2300 CLM11-02) is present, the Rel Cause Code 1 (2300 CLM11-01) must be present or the claim will reject.

If the Rel Cause Code 2 (2300 CLM11-02) is present, it must be contain AA, EM, or OA, or the claim will reject.

2010326002-12/01/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 04/29/2011 - slc - added arcaid & comm
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of sub-element CLM11-02 has been already used. Related-Causes Codes are expected to be unique within composite CLM11. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segme,127,52%,0x39395EF
"When Rel Cause Cd 1 (2300 CLM11-01) or Rel Cause Cd 2 (2300 CLM11-02) equals ""AA"", the Accident State (2300 CLM11-04) must be present. For FEP, the state code must be a valid code.

11/01/2007-RMP-PR2007305012 - Added Commercial and Medicaid.
2010246026 - 9/23/2010 - RMP - updated documentation
2011115007 - 04/29/2011 - slc - removed arcaid & comm specific logic and put on edit 1835.
2012003040 - 1/9/2012 - RMP - check for valid state",Value of sub-element CLM11-02 has been already used. Related-Causes Codes are expected to be unique within composite CLM11. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segme,128,32%,0x39395EF
"When Rel Cause Cd 1 (2300 CLM11-01) or Rel Cause Cd 2 (2300 CLM11-02) equals ""AA"", the Accident State (2300 CLM11-04) must be present. When the Accident State is present, one of the Related Cause Codes must equal ""AA"".
If present, the Accident State (2300 CLM11-04) must be a valid state code.

2010246026 - 9/23/2010 - RMP - updated documentation
2010326002-12/02/2010-DMC-Added valid state requirement.
2011115007 - 04/29/2011 - slc - simplified logic, added comm & arcaid since this edit meets their requirements.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of sub-element CLM11-02 has been already used. Related-Causes Codes are expected to be unique within composite CLM11. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segme,129,30%,0x39395EF
"When present, the Special Program Indicator must have a value of 1, 2, 3, 5, 7, 8, or 9. 

04/18/2008-CLM-2008098023 - Added Medicaid and Commercial.
RMP - Removed 1,7,8; not valid for 5010
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Segment LQ is missing. Remark codes are required when Claim Adjustment Reason Code 16, 17, 96, 125, 148, 162, 226, 227 or A1 is used in CAS segment.",130,35%,0x3938BD5
"When the Provider Agreement Code is present, it must equal P. Otherwise, ""Participation Agreement Code must = P"" is displayed.

07/24/08 - DMC - Added COMM and ARCAID per ProTract 2008198017.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of sub-element SV201-02 is incorrect. Expected value is from external code list - Home Infusion EDI Coalition (HIEC) Product/Service Code (513) when [dpe.rec.gdl.id][dpe.par.gdl.sq]-01='[emp.ec_DepSE_DVal]'. Segment [dpe.rec.gdl.id] is defined in th,131,42%,0x3939618
"When Delay Reason Code is present, it must have a value of  1-11.

RMP - added 15, new value for 5010

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element CAS05 has been already used. Claim Adjustment Reason Codes are expected to have unique values within segment CAS. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error was detected at:{br}{ta,132,62%,0x39393FA
"If date is not less than or equal to current date, error message ""Onset of Current Illness or Injury Date Must Be Less Than Or Equal To System Date"" will display.

If date is not valid, error message ""Onset of Illness Date Must Be Valid Date"" will display.

01/09/2009 - DMC - Converted per Protrac 2008296010.

2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTP03 (Onset of Current Illness or Injury Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.r,133,46%,0x3939388
"When present, the Initial Treatment Date cannot be greater than the System Date. Otherwise, ""Must Be less than or equal to Sys Date"" is displayed. The Initial Treatment Date must also be a valid date. Otherwise, ""Valid Date Required (Initial Treatment Date)"" is displayed. When the Initial Treatment Date has a century beginning with a number other than 19 or 20, ""If Present Then A Valid Date Is Required"" is displayed.
Initial treatment date is required for MPA claims where procedure code is 98940, 98941 or 98942.

2008193010 - rmp - added ARCAID and COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2015141010 - 10/01/2015 - rmt - require date for MPA when proc is 98940, 98941 or 98942",Value of element DTP03 (Initial Treatment Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{b,134,44%,0x3939388
"When present, the Last Seen Date cannot be greater than the System Date. Otherwise, ""Last Seen Date Must Be less than or equal to Sys Date"" is displayed. 
     The Last Seen Date must also be a valid date. Otherwise, ""Valid Last Seen Date Required"" is displayed. 
     When the Last Seen Date has a century beginning with a number other than 19 or 20, ""If Present Then A Valid Date Is Required"" is displayed.

08/19/2008 - DMC - Added ARCAID and COMM per ProTrac 2008226015.
 

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTP03 (Last Seen Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This e,135,51%,0x3939388
"If the Patient Codition Code (2300 CR208) indicates this is an Acute Condition or it is an Acute Manifest of a Chronic Condition, the Manifestation Date (2300 DTP03) is required, or the claim will reject.

If the Manifestation Date (2300 DTP03) is not a valid date, the claim will reject.

If the Manifestation Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTP03 (Acute Manifestation Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br},136,52%,0x3939388
"If an Accident Date (2300 DTP03 439) is present, the Related Cause Code (2300 CLM11-01) is Required.
If the Related Cause Code contains AA or OA the Accident Date (2300 DTP03) is Required.

If Present, the Accident Date must be Valid and Cannot be a Future Date.

2010326002-12/01/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 04/29/2011 - slc - updated code to be more efficient, added commercial and medicare.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTP03 (Accident Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date.,137,32%,0x3939388
"If the Pregnacy Indicator (2000B/C PAT09) is ""Y"" and Last Period Date (2300 DTP03) is missing, the claim will reject.
If the Last Period Date (2300 DTP03) is not a valid date, the claim will reject.
If the Last Period Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTP03 (Claim Service Date) is incorrect. Start date of period may not be after end date. Expected value is Date in format 'CCYYMMDD-CCYYMMDD' when DTP02 ='RD8'.,138,37%,0x3939387
"If the Last X-Ray Date (2300 DTP03) is not a valid date, the claim will reject.
If the Last X-Ray Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 06/02/2011 - slc - added ARCAID & COMM

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment DTP (Date - Last Certification Date) is missing. It is required when certification for DMERC is included in this claim (PWK02 = 'AD').{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{tab}Character: [emp.cp],139,42%,0x3938AFE
"If the Prescription Date (2300 DTP03) is not a valid date, the claim will reject.

If the Prescription Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.


2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment DTP (Date - Acute Manifestation) is used. It is not expected to be used when claim does not have CR208 as 'A' or 'M'. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Cou,140,46%,0x3938B7B
"If Present, Disability Date Qualifier Must Be 314, 360, or 361, or error message ""Disability Date Qualifier Must Be 314,360, or 361"" will display.
If present, and this is a Medicare or MediPak Advantage claim, and Disability Date Qual is 314, both To and From dates are required.

01/09/2009 - DMC - Converted per Protrac 2008296010.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013064014 - 03/08/2013 - dmc - added requirements for To and From dates if Qual is 314.
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTP01 is incorrect. Value '349' may not be used when DTP01 in loop 2000 is '357' (termination dates are not to be sent at both the HD and the INS levels for a particular occurrence of loop 2000).,141,36%,0x3939452
"If qual is present, this field must be present.

01/12/2009 - DMC - Created edit per Protrac 2008296010.
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment REF (Payee Additional Identification) is missing. TIN must be carried in this REF segment when N103 is 'TJ'.,142,50%,0x3938BD4
"If the Disability From Date (2300 DTP03) is not a valid date, the claim will reject.

If the Disability From Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 06/02/2011 - slc - added ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTP03 (Disability From Date) is incorrect. Start date of period may not be after end date. Expected value is Date in format 'CCYYMMDD-CCYYMMDD' when DTP02 ='RD8'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.g,143,43%,0x3939387
"If the Disability To Date (2300 DTP03) is not a valid date, the claim will reject.

If the Disability To Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 06/02/2011 - slc - added ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment DTP (Date - Acute Manifestation) is used. It is not expected to be used when claim does not have CR208 as 'A' or 'M'. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Cou,144,50%,0x3938B7B
"If the Last Worked Date (2300 DTP03) is not a valid date, the claim will reject.

If the Last Worked Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment DTP (Date - Last Certification Date) is missing. It is required when certification for DMERC is included in this claim (PWK02 = 'AD').{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{tab}Character: [emp.cp],145,43%,0x3938AFE
"If the Return To Work Date (2300 DTP03) is not a valid date, the claim will reject.

If the Return To Work Date (2300 DTP03) is a future date, the claim will reject.

06/10/2008-CLM-2008102018 - Added Medicaid and Commercial.
2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment DTP (Date - Acute Manifestation) is used. It is not expected to be used when claim does not have CR208 as 'A' or 'M'. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Cou,146,47%,0x3938B7B
"When Admission Date (2300 DTP03) is present it Must be a Valid Date, Cannot be a Future Date and Must Begin with 19 or 20.

The Admission Date (2300 DTP03) is required when the Patient was Admitted to the Hospital or was an Inpatient Medical Visit.  This can be identified as follows:
    1. Place of Service (2300 CLM05-1) equals ""21"", ""51"", or ""61""
    2. Place of Service equals ""41"" or ""42"" and the Ambulance Information (2300 CRC02) equals ""Y"", and one of the Ambulance Information Condition Codes (2300 CRC03-07) equals ""01""

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 05/02/2011 - slc - added ARCAID & COMM since this edit meets IG requirements.


2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment DTP (Subscriber Date) is missing with DTP01 as '346' or '291'. It is required to represent Plan Dates when individual has active coverage.,147,46%,0x3938B04
"When present, the Discharge Date cannot be greater than the System Date. Otherwise, ""Discharge Date Must Be Less Than or Equal to Sys Date"" is displayed. The Discharge Date must also be a valid date. Otherwise, ""Valid Date Required"" is displayed. When the Discharge Date has a century beginning with a number other than 19 or 20, ""If Present Then A Valid Date Is Required"" is displayed.

2008077029 - added COMM and ARCAID

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element DTP03 (Discharge Date) is incorrect. Value for date or start period date is expected to be a date earlier than the Transaction Creation Date. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This e,148,43%,0x3939388
"If the Assumed Care Date (2300 DTP03) is not a valid date, the claim will reject.

If the Assumed Care Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",149,43%,0x3938AEA
"If the Relinquished Care Date (2300 DTP03) is not a valid date, the claim will reject.
If the Relinquished Care Date (2300 DTP03) is a future date, the claim will reject.

06/10/2008-CLM-2008102018 - Added Medicaid and Commercial.
2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",150,42%,0x3938AEA
"If the Repricer Receiver Date (2300 DTP03) is not a valid date, the claim will reject.

If the Repricer Receiver Date (2300 DTP03) is a future date, the claim will reject.

2010326002-12/02/2010-DMC-Revised per Medicare 5010 conversion.
2011115007 - 06/02/2011 - slc - added ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment DTP (Date - Acute Manifestation) is used. It is not expected to be used when claim does not have CR208 as 'A' or 'M'. Segment [dpe.gdl.id] is defined in the guideline at position [dpe.gdl.sq].{br}{br}This error was detected at:{br}{tab}Segment Cou,151,43%,0x3938B7B
"When present, the Attachment Report Type Code (2300 PWK01) must contain one of the following values: ""03,04,05,06,07,08,09,10,11,13,15,21,A3,A4,AM,AS,B2,B3,B4,BR,BS,BT,CB,CK,CT,D2,DA,DB,DG,DJ,DS,EB,HC,HR,I5,IR,LA,M1,MT,NN,OB,OC,OD,OE,OX,OZ,P4,P5,PE,PN,PO,PQ,PY,PZ,RB,RR,RT,RX,SG,V5,XP"".
For Medicare and Medipak Advantage, if the 2300 PWK segment is present, the Attachment Report Type Code must be present.

04/03/2008-CLM-2008088012 - Added Medicaid and Commercial.
RMP - old values were ""77,AS,B2,B3,B4,CT,DA,DG,DS,EB,MT,NN,OB,OZ,PN,PO,PZ,RB,RR,RT"", new 5010 values are ""03,04,05,06,07,08,09,10,11,13,15,21,A3,A4,AM,AS,B2,B3,B4,BR,BS,BT,CB,CK,CT,D2,DA,DB,DG,DJ,DS,EB,HC,HR,I5,IR,LA,M1,MT,NN,OB,OC,OD,OE,OX,OZ,P4,P5,PE,PN,PO,PQ,PY,PZ,RB,RR,RT,RX,SG,V5,XP""
2010326002-11/29/2010-rmp-updated for new Medicare/MPA requirements

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of sub-element STC10-01 is incorrect. Expected value must be within the same Status Category Code as that reported in STC01.,152,28%,0x393965A
"When present, the Attachment Transmission Code (2300 PWK02) must contain one of these values: ""AA"", ""BM"", ""EL"", ""EM"", or ""FX"". 
If the 2300 PWK segment is present, the Attachment Transmission Code must be present.


2008057015-added ARCAID and COMM
11/21/2008-DMC-Revised error message per ProTrac 2008308014
2010326002-11/29/2010-rmp-updated for new Medicare/MPA requirements
2011115007 - 05/05/2011 - slc - adjusted to meet IG reqs for ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Segment CAS is used. New instance of segment CAS should not be used with the same Adjustment Group Code (CAS01) when previous one has not-used adjustment
trio codes.",153,27%,0x3938BBE
"The Attachment Control Number (2300 PWK06) is required when the Attachment Transmission Code (2300 PWK02) contains one of these values: ""BM"", ""EL"", ""EM"", ""FT"", or ""FX"".
If present the Attachment Control Number must be at least 2 characters, at most 256 characters in length. Can only contain valid characters. Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '. 
When Attachment Control Number is present, Attachment Transmission Code must be one of these values: ""BM"", ""EL"", ""EM"", ""FT"", or ""FX"".

09/17/2008-CLM-20083246026 - Add Medicaid and Commercial.
2010326002-11/30/2010-rmp-updated with new Medicare/MPA requirements
2011115007 - 05/05/2011 - slc - missing value of FT and adjusted to meet IG reqs for ARCAID/COMM.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element [dpe.rec.gdl.id][dpe.gdl.sq] does not look like a valid Phone Number. Phone Number and Area Code consisting from all zeros is not compliant. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This er,154,19%,0x393943D
"The Dakota sequence range for encoder numbers is 48000 - 65999. If AHIN receives a paper claim submission outside of this range reject the claim and notify the Imaging team.

2011110020 - 5/12/2011 - rmp - reject dakota claims outside of valid encoder range
2012292012 - 10/22/2012 - slc - added Tyson to edit for baseline
2013123008 - 05/03/2013 - slc - added Exchange Payers to edit for baseline
2013140007 - 05/22/2013 - slc - added Exchange Shop Payer to edit for baseline",Value of element DTP03 (Date - Service Date) is incorrect. Expected value for date or start period date should be a date earlier than the Claim Adjudication date specified in loop 2330B ('[emp.ec_ExpDate]'). Segment [dpe.rec.gdl.id] is defined in the guid,155,28%,0x3939453
"Prevent Duplicate encoder number.
when submitter number is = X0020 require 1st occurrence of the PWK06 segment to be populated and must be 14 digits

2018064033 - 03/21/2018 - slc - prevent dup encoder_numbers.
2018127027 - 06/04/2018 - slc - when submitter number is = X0020 require 1st occurrence of the PWK06 segment to be populated and must be 14 digits
",Value of element REF02 (Pay-To Plan Secondary ID) is incorrect. Expected value is Employer's Identification Number (format is '9 digits') when REF01='EI'. Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br}{br}This error,156,39%,0x393938C
"If the Contract Type Code (2300 CN101) is Present, it must be 01, 02, 03, 04, 05, 06, or 09.

2010316003 - 11/22/2010 - slc - removed medicare
2011115007 - 05/02/2011 - slc - updated edit to meet 5010 requirements",Value of element ST01 (Transaction Set Identifier Code) does not match to value of element GS01 (Functional Identifier Code). Expected value of GS01 is 'BE' for this transaction type. ,157,28%,0x3939440
"If Patient amount Paid is zero, error message ""Patient Amount Paid Must Be Numeric Data"" is displayed.

If Patient amount is less than zero, ""Patient Amount Paid Must Be >= 0"" is displayed.

If Patient amount is greater than 9999999, then ""Patient Amount Paid Must Be <= 9999999"" is displayed.

04/03/2008-CLM-2008088014 - Added Medicaid and Commercial.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Segment AMT (Remaining Patient Liability) is used. It should not be used when segments AMT (Coordination of Benefits (COB) Payer Paid Amount) and CAS (Claim Level Adjustments) are not used.,158,47%,0x3938B82
"For Medicaid, Patient Paid Amount (2300 AMT02) cannot be 0.

2011349007 - 12/15/2011 - CLM - Initial creation.
",Segment AMT (Remaining Patient Liability) is used. It should not be used when segments AMT (Coordination of Benefits (COB) Payer Paid Amount) and CAS (Claim Level Adjustments) are not used.,159,40%,0x3938B82
"When present, the Service Authorization Exception Code (Medicaid) must be 1-7.

04/18/2008-CLM-2008098023 - Added Medicaid and Commercial.

2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element REF01 is incorrect. Code '1A' can't be used when element NM108 (Service Provider Name) is 'BD',160,40%,0x39393F5
"If the Indicator is not Y or N, ""Medicare Section 4081 Indicator must = (N, Y)"" is displayed.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline","Segment DTP (Date - Acute Manifestation) is missing. It is expected to be used when CR208 is 'A' or 'M' in loop 2300, claim involves spinal manipulation, and payer is Medicare.{br}{br}This segment was expected after:{br}{tab}Segment Count: [dpe.dc]{br}{ta",161,39%,0x3938AEA
"If a Referral Number (2300 REF02 9F) is present, the Referring Provider information (2310A NM1 OR 2420F NM1) must be present.
If Present, Max Length = 50 and Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.


2010246026 - 9/23/2010 - RMP - updated documentation
2010326002 - 11/30/2010 - slc - 5010:Medicare & MPA Edits
2011115007 - 05/05/2011 - slc - added ARCAID & COMM
2012228009 - 08/16/2012 - slc - remove field 2310a nm102 from edit.
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element REF02 (Information Receiver Secondary ID) is incorrect. Expected value is National Provider ID (format is '10 digits starting from 1-4 with optional '80840' prefix and last check digit') when REF01='HPI'.,162,15%,0x3939390
"If a Prior Authorization Number (2300 REF02 G1) is Present, Max Length = 50 and Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.

2010326002 - 11/30/2010 - slc - 5010:Medicare & MPA Edits
2011115007 - 05/05/2011 - slc - added ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element BPR07 is incorrect. Expected value is from external code list - Canadian Bank Branch and Institution Number (91) when BPR06='04'.,163,14%,0x3939320
"When Claim Type (2300 CLM05) is 6, 7, or 8, the Original Reference Number (2300 REF02 F8) is required. 
The Original Reference Number cannot exceed 20 characters, and cannot contain invalid characters.

09/26/2006-CLM-Added check for valid characters.
06/10/2008-CLM-2008102018 - Added Medicaid and Commercial.
2010228015 - 11/8/2010 - 5010:Remove MCARE & MPA",Segment REF (Previous Review Administrative Reference Number) is used. It is not expected to be used when it provides the same information as segment REF in loop 2000E.,164,28%,0x3938B79
"If the claim is from intergrated settlement (E4467) do not edit. ELECTRONIC CORRECTED CLAIMS SHOULD REFERENCE THE ORIGINAL CLAIM NUMBER THAT IS TO BE ADJUSTED.  WHEN CLAIM TYPE = 6 (CORRECTED CLAIM), 7(REPLACEMENT CLAIM) OR 8 (VOID) THE ORIGINAL REFERENCE # (CLAIM NUMBER( IS REQUIRED. 
ORIGINAL REFERENCE # FORMAT MUST BE 9 NUMERIC WITH OPTIONAL 10TH BYTE ALPHA/NUMERIC WHEN ABCBS (GCPS) IS LOB/PAYER.
Original Claim Number must be Alphanumeric for all lobs except BCBS.

2012128002 - 05/07/12 - rmt - turn off from IS
2016222037 - 09/11/2016 - slc - updated to check for alpha-numeric for all lobs except bcbs.
2017304032 - 11/13/2017 - slc - add fep
2019100015 - 08/02/2019 - mdf - If FEP and ICN is present and Claim Type != 7 or 8 then throw error. ",Segment REF (Previous Review Administrative Reference Number) is used. It is not expected to be used when it provides the same information as segment REF in loop 2000E.,165,27%,0x3938B79
"If a Clinical Laboratory Improvement Amendment (CLIA) Number (2300 REF02 X4) is Present, Max Length = 50 and Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.
If Medicare and present, must be 10 characters with 3rd position of D

2010326002 - 12/1/2010 - slc - 5010:Medicare & MPA Edits
2011115007 - 05/05/2011 - slc - added ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline
2017122053 - 06/02/2017 - slc - added medicare 10 char and 3rd pos D logic",Value of element REF02 (Referring CLIA Facility Identification) is incorrect. Expected value is CLIA number (format is '10 characters where the third character is 'D''). Segment [dpe.rec.gdl.id] is defined in the guideline at position [dpe.rec.gdl.sq].{br,166,19%,0x3939381
"If a Repriced Claim Reference Number (2300 REF02 9A) is Present, Max Length = 50 and Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.

2010326002 - 12/1/2010 - slc - 5010:Medicare & MPA Edits
2011115007 - 05/05/2011 - slc - added ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element BPR07 is incorrect. Expected value is from external code list - Canadian Bank Branch and Institution Number (91) when BPR06='04'.,167,14%,0x3939320
"If the Adjusted Repriced Claim Reference Number (2300 REF02 9C) is Present, Max Length = 50 and Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.

2010326002 - 12/1/2010 - slc - 5010:Medicare & MPA Edits
2011115007 - 05/05/2011 - slc - added ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element BPR07 is incorrect. Expected value is from external code list - Canadian Bank Branch and Institution Number (91) when BPR06='04'.,168,12%,0x3939320
"If the Investigational Device Exemption Number (2300 REF02 LX) is Present, Max Length = 50 and Valid characters are: 0-9, a-z, A-Z, -, space, comma, period, ), (, /, #, !, @, $, %, ^, &, +, =, _, \, |, ;, <, ?, {, }, [, ], and '.

2010326002 - 12/1/2010 - slc - 5010:Medicare & MPA Edits
2011115007 - 05/05/2011 - slc - added ARCAID & COMM
2013200011 - 07/24/2013 - slc - added Medicare Part B Railroad Payer to edit for baseline",Value of element BPR07 is incorrect. Expected value is from external code list - Canadian Bank Branch and Institution Number (91) when BPR06='04'.,169,12%,0x3939320
